id_kota|id_provinsi|nama_kota|slug|tipe|created_at
260|19|Kabupaten Tulang Bawang Barat|kabupaten-tulang-bawang-barat|Kabupaten|2026-05-13 21:20:29
50|4|Kota Bengkulu|kota-bengkulu|Kota|2026-05-13 19:46:38
205|13|Kota Banjarmasin|kota-banjarmasin|Kota|2026-05-13 21:02:32
510|38|Kota Padangsidimpuan|kota-padangsidimpuan|Kota|2026-05-13 22:56:01
307|23|Kabupaten Ngada|kabupaten-ngada|Kabupaten|2026-05-13 21:35:58
99|9|Kota Bekasi|kota-bekasi|Kota|2026-05-13 20:13:01
108|10|Kabupaten Batang|kabupaten-batang|Kabupaten|2026-05-13 20:15:37
137|10|Kota Salatiga|kota-salatiga|Kota|2026-05-13 20:31:08
154|11|Kabupaten Malang|kabupaten-malang|Kabupaten|2026-05-13 20:40:12
146|11|Kabupaten Gresik|kabupaten-gresik|Kabupaten|2026-05-13 20:35:08
302|23|Kabupaten Malaka|kabupaten-malaka|Kabupaten|2026-05-13 21:34:27
310|23|Kabupaten Sikka|kabupaten-sikka|Kabupaten|2026-05-13 21:36:48
167|11|Kabupaten Trenggalek|kabupaten-trenggalek|Kabupaten|2026-05-13 20:47:46
264|20|Kabupaten Buru|kabupaten-buru|Kabupaten|2026-05-13 21:21:51
252|19|Kabupaten Lampung Timur|kabupaten-lampung-timur|Kabupaten|2026-05-13 21:16:48
57|6|Kota Jakarta Barat|kota-jakarta-barat|Kota|2026-05-13 19:49:32
110|10|Kabupaten Boyolali|kabupaten-boyolali|Kabupaten|2026-05-13 20:16:43
398|32|Kota Makassar|kota-makassar|Kota|2026-05-13 22:12:56
473|37|Kabupaten Ogan Komering Ilir|kabupaten-ogan-komering-ilir|Kabupaten|2026-05-13 22:38:48
263|19|Kota Metro|kota-metro|Kota|2026-05-13 21:21:43
4|1|Kabupaten Aceh Jaya|kabupaten-aceh-jaya|Kabupaten|2026-05-13 19:20:23
505|38|Kabupaten Tapanuli Utara|kabupaten-tapanuli-utara|Kabupaten|2026-05-13 22:54:03
244|18|Kabupaten Kepulauan Anambas|kabupaten-kepulauan-anambas|Kabupaten|2026-05-13 21:13:36
335|26|Kabupaten Sorong|kabupaten-sorong|Kabupaten|2026-05-13 21:45:13
377|32|Kabupaten Bantaeng|kabupaten-bantaeng|Kabupaten|2026-05-13 22:05:10
179|12|Kabupaten Bengkayang|kabupaten-bengkayang|Kabupaten|2026-05-13 20:51:20
481|37|Kota Prabumulih|kota-prabumulih|Kota|2026-05-13 22:42:01
339|27|Kabupaten Jayawijaya|kabupaten-jayawijaya|Kabupaten|2026-05-13 21:47:08
288|22|Kabupaten Lombok Tengah|kabupaten-lombok-tengah|Kabupaten|2026-05-13 21:28:55
200|13|Kabupaten Tabalong|kabupaten-tabalong|Kabupaten|2026-05-13 21:00:55
455|36|Kabupaten Solok|kabupaten-solok|Kabupaten|2026-05-13 22:32:57
231|16|Kabupaten Malinau|kabupaten-malinau|Kabupaten|2026-05-13 21:10:16
245|18|Kabupaten Lingga|kabupaten-lingga|Kabupaten|2026-05-13 21:13:51
290|22|Kabupaten Lombok Utara|kabupaten-lombok-utara|Kabupaten|2026-05-13 21:29:47
345|27|Kabupaten Yahukimo|kabupaten-yahukimo|Kabupaten|2026-05-13 21:52:02
182|12|Kabupaten Ketapang|kabupaten-ketapang|Kabupaten|2026-05-13 20:52:37
175|11|Kota Mojokerto|kota-mojokerto|Kota|2026-05-13 20:50:18
452|36|Kabupaten Pasaman Barat|kabupaten-pasaman-barat|Kabupaten|2026-05-13 22:31:58
79|9|Kabupaten Bandung|kabupaten-bandung|Kabupaten|2026-05-13 19:57:39
158|11|Kabupaten Pacitan|kabupaten-pacitan|Kabupaten|2026-05-13 20:42:36
183|12|Kabupaten Kubu Raya|kabupaten-kubu-raya|Kabupaten|2026-05-13 20:53:14
375|31|Kabupaten Pasangkayu|kabupaten-pasangkayu|Kabupaten|2026-05-13 22:04:30
254|19|Kabupaten Mesuji|kabupaten-mesuji|Kabupaten|2026-05-13 21:18:10
145|11|Kabupaten Bondowoso|kabupaten-bondowoso|Kabupaten|2026-05-13 20:34:29
197|13|Kabupaten Hulu Sungai Tengah|kabupaten-hulu-sungai-tengah|Kabupaten|2026-05-13 20:59:30
358|29|Kabupaten Puncak Jaya|kabupaten-puncak-jaya|Kabupaten|2026-05-13 21:58:12
58|6|Kota Jakarta Pusat|kota-jakarta-pusat|Kota|2026-05-13 19:49:46
3|1|Kabupaten Aceh Besar|kabupaten-aceh-besar|Kabupaten|2026-05-13 19:19:12
373|31|Kabupaten Mamuju|kabupaten-mamuju|Kabupaten|2026-05-13 22:04:05
422|34|Kabupaten Konawe|kabupaten-konawe|Kabupaten|2026-05-13 22:21:23
347|28|Kabupaten Asmat|kabupaten-asmat|Kabupaten|2026-05-13 21:53:40
45|4|Kabupaten Kepahiang|kabupaten-kepahiang|Kabupaten|2026-05-13 19:44:19
450|36|Kabupaten Padang Pariaman|kabupaten-padang-pariaman|Kabupaten|2026-05-13 22:31:18
323|24|Kabupaten Supiori|kabupaten-supiori|Kabupaten|2026-05-13 21:41:28
164|11|Kabupaten Sidoarjo|kabupaten-sidoarjo|Kabupaten|2026-05-13 20:45:52
407|33|Kabupaten Morowali Utara|kabupaten-morowali-utara|Kabupaten|2026-05-13 22:16:02
430|34|Kota Kendari|kota-kendari|Kota|2026-05-13 22:24:54
366|30|Kabupaten Rokan Hilir|kabupaten-rokan-hilir|Kabupaten|2026-05-13 22:01:43
70|8|Kabupaten Kerinci|kabupaten-kerinci|Kabupaten|2026-05-13 19:53:54
287|22|Kabupaten Lombok Barat|kabupaten-lombok-barat|Kabupaten|2026-05-13 21:28:40
512|38|Kota Sibolga|kota-sibolga|Kota|2026-05-13 22:56:25
65|7|Kabupaten Gorontalo Utara|kabupaten-gorontalo-utara|Kabupaten|2026-05-13 19:52:10
282|21|Kabupaten Pulau Taliabu|kabupaten-pulau-taliabu|Kabupaten|2026-05-13 21:27:23
348|28|Kabupaten Boven Digoel|kabupaten-boven-digoel|Kabupaten|2026-05-13 21:54:14
148|11|Kabupaten Jombang|kabupaten-jombang|Kabupaten|2026-05-13 20:36:34
401|33|Kabupaten Banggai|kabupaten-banggai|Kabupaten|2026-05-13 22:13:39
140|10|Kota Tegal|kota-tegal|Kota|2026-05-13 20:31:48
180|12|Kabupaten Kapuas Hulu|kabupaten-kapuas-hulu|Kabupaten|2026-05-13 20:51:48
258|19|Kabupaten Tanggamus|kabupaten-tanggamus|Kabupaten|2026-05-13 21:19:23
384|32|Kabupaten Kepulauan Selayar|kabupaten-kepulauan-selayar|Kabupaten|2026-05-13 22:07:39
235|17|Kabupaten Bangka|kabupaten-bangka|Kabupaten|2026-05-13 21:11:32
250|19|Kabupaten Lampung Selatan|kabupaten-lampung-selatan|Kabupaten|2026-05-13 21:15:25
107|10|Kabupaten Banyumas|kabupaten-banyumas|Kabupaten|2026-05-13 20:14:51
269|20|Kabupaten Maluku Tengah|kabupaten-maluku-tengah|Kabupaten|2026-05-13 21:23:20
19|1|Kota Banda Aceh|kota-banda-aceh|Kota|2026-05-13 19:32:06
364|30|Kabupaten Kuantan Singingi|kabupaten-kuantan-singingi|Kabupaten|2026-05-13 22:01:00
51|5|Kabupaten Bantul|kabupaten-bantul|Kabupaten|2026-05-13 19:46:59
504|38|Kabupaten Tapanuli Tengah|kabupaten-tapanuli-tengah|Kabupaten|2026-05-13 22:53:26
330|25|Kabupaten Pegunungan Arfak|kabupaten-pegunungan-arfak|Kabupaten|2026-05-13 21:43:02
303|23|Kabupaten Manggarai|kabupaten-manggarai|Kabupaten|2026-05-13 21:34:43
261|19|Kabupaten Way Kanan|kabupaten-way-kanan|Kabupaten|2026-05-13 21:20:46
332|25|Kabupaten Teluk Wondama|kabupaten-teluk-wondama|Kabupaten|2026-05-13 21:43:49
390|32|Kabupaten Pinrang|kabupaten-pinrang|Kabupaten|2026-05-13 22:10:00
242|18|Kabupaten Bintan|kabupaten-bintan|Kabupaten|2026-05-13 21:12:57
71|8|Kabupaten Merangin|kabupaten-merangin|Kabupaten|2026-05-13 19:54:31
466|37|Kabupaten Empat Lawang|kabupaten-empat-lawang|Kabupaten|2026-05-13 22:35:22
313|23|Kabupaten Sumba Tengah|kabupaten-sumba-tengah|Kabupaten|2026-05-13 21:37:55
190|12|Kabupaten Sintang|kabupaten-sintang|Kabupaten|2026-05-13 20:56:23
326|25|Kabupaten Fak Fak|kabupaten-fak-fak|Kabupaten|2026-05-13 21:41:59
308|23|Kabupaten Rote Ndao|kabupaten-rote-ndao|Kabupaten|2026-05-13 21:36:21
383|32|Kabupaten Jeneponto|kabupaten-jeneponto|Kabupaten|2026-05-13 22:07:21
157|11|Kabupaten Ngawi|kabupaten-ngawi|Kabupaten|2026-05-13 20:42:08
31|2|Kabupaten Tabanan|kabupaten-tabanan|Kabupaten|2026-05-13 19:35:00
350|28|Kabupaten Merauke|kabupaten-merauke|Kabupaten|2026-05-13 21:55:10
141|11|Kabupaten Bangkalan|kabupaten-bangkalan|Kabupaten|2026-05-13 20:31:55
449|36|Kabupaten Lima Puluh Kota|kabupaten-lima-puluh-kota|Kota|2026-05-13 22:30:58
311|23|Kabupaten Sumba Barat|kabupaten-sumba-barat|Kabupaten|2026-05-13 21:37:19
440|35|Kabupaten Minahasa Tenggara|kabupaten-minahasa-tenggara|Kabupaten|2026-05-13 22:28:38
499|38|Kabupaten Pakpak Bharat|kabupaten-pakpak-bharat|Kabupaten|2026-05-13 22:50:39
479|37|Kota Pagar Alam|kota-pagar-alam|Kota|2026-05-13 22:41:24
305|23|Kabupaten Manggarai Timur|kabupaten-manggarai-timur|Kabupaten|2026-05-13 21:35:24
210|14|Kabupaten Kapuas|kabupaten-kapuas|Kabupaten|2026-05-13 21:03:52
438|35|Kabupaten Minahasa|kabupaten-minahasa|Kabupaten|2026-05-13 22:27:28
162|11|Kabupaten Probolinggo|kabupaten-probolinggo|Kabupaten|2026-05-13 20:44:47
212|14|Kabupaten Kotawaringin Barat|kabupaten-kotawaringin-barat|Kota|2026-05-13 21:04:49
445|35|Kota Tomohon|kota-tomohon|Kota|2026-05-13 22:29:57
359|30|Kabupaten Bengkalis|kabupaten-bengkalis|Kabupaten|2026-05-13 21:58:53
378|32|Kabupaten Barru|kabupaten-barru|Kabupaten|2026-05-13 22:05:21
471|37|Kabupaten Musi Rawas Utara|kabupaten-musi-rawas-utara|Kabupaten|2026-05-13 22:38:05
165|11|Kabupaten Situbondo|kabupaten-situbondo|Kabupaten|2026-05-13 20:46:31
176|11|Kota Pasuruan|kota-pasuruan|Kota|2026-05-13 20:50:23
370|30|Kota Pekanbaru|kota-pekanbaru|Kota|2026-05-13 22:03:03
116|10|Kabupaten Karanganyar|kabupaten-karanganyar|Kabupaten|2026-05-13 20:20:14
314|23|Kabupaten Sumba Timur|kabupaten-sumba-timur|Kabupaten|2026-05-13 21:38:07
189|12|Kabupaten Sekadau|kabupaten-sekadau|Kabupaten|2026-05-13 20:56:09
446|36|Kabupaten Agam|kabupaten-agam|Kabupaten|2026-05-13 22:30:07
474|37|Kabupaten Ogan Komering Ulu|kabupaten-ogan-komering-ulu|Kabupaten|2026-05-13 22:39:25
426|34|Kabupaten Muna|kabupaten-muna|Kabupaten|2026-05-13 22:23:37
280|21|Kabupaten Kepulauan Sula|kabupaten-kepulauan-sula|Kabupaten|2026-05-13 21:26:58
429|34|Kota Bau Bau|kota-bau-bau|Kota|2026-05-13 22:24:42
399|32|Kota Palopo|kota-palopo|Kota|2026-05-13 22:13:20
372|31|Kabupaten Mamasa|kabupaten-mamasa|Kabupaten|2026-05-13 22:03:39
394|32|Kabupaten Takalar|kabupaten-takalar|Kabupaten|2026-05-13 22:11:07
29|2|Kabupaten Karangasem|kabupaten-karangasem|Kabupaten|2026-05-13 19:34:30
204|13|Kota Banjarbaru|kota-banjarbaru|Kota|2026-05-13 21:02:26
89|9|Kabupaten Kuningan|kabupaten-kuningan|Kabupaten|2026-05-13 20:06:34
40|3|Kota Tangerang Selatan|kota-tangerang-selatan|Kota|2026-05-13 19:41:47
109|10|Kabupaten Blora|kabupaten-blora|Kabupaten|2026-05-13 20:16:08
47|4|Kabupaten Muko Muko|kabupaten-muko-muko|Kabupaten|2026-05-13 19:44:57
88|9|Kabupaten Karawang|kabupaten-karawang|Kabupaten|2026-05-13 20:05:44
76|8|Kabupaten Tebo|kabupaten-tebo|Kabupaten|2026-05-13 19:56:48
224|15|Kabupaten Mahakam Ulu|kabupaten-mahakam-ulu|Kabupaten|2026-05-13 21:08:51
506|38|Kabupaten Toba|kabupaten-toba|Kabupaten|2026-05-13 22:54:33
228|15|Kota Bontang|kota-bontang|Kota|2026-05-13 21:09:38
48|4|Kabupaten Rejang Lebong|kabupaten-rejang-lebong|Kabupaten|2026-05-13 19:45:28
338|26|Kota Sorong|kota-sorong|Kota|2026-05-13 21:46:56
497|38|Kabupaten Padang Lawas|kabupaten-padang-lawas|Kabupaten|2026-05-13 22:49:27
382|32|Kabupaten Gowa|kabupaten-gowa|Kabupaten|2026-05-13 22:06:52
485|38|Kabupaten Deli Serdang|kabupaten-deli-serdang|Kabupaten|2026-05-13 22:43:39
34|3|Kabupaten Pandeglang|kabupaten-pandeglang|Kabupaten|2026-05-13 19:36:43
386|32|Kabupaten Luwu Timur|kabupaten-luwu-timur|Kabupaten|2026-05-13 22:08:33
207|14|Kabupaten Barito Timur|kabupaten-barito-timur|Kabupaten|2026-05-13 21:02:57
376|31|Kabupaten Polewali Mandar|kabupaten-polewali-mandar|Kabupaten|2026-05-13 22:04:45
277|21|Kabupaten Halmahera Tengah|kabupaten-halmahera-tengah|Kabupaten|2026-05-13 21:26:04
61|6|Kota Jakarta Utara|kota-jakarta-utara|Kota|2026-05-13 19:50:36
161|11|Kabupaten Ponorogo|kabupaten-ponorogo|Kabupaten|2026-05-13 20:44:13
495|38|Kabupaten Nias Selatan|kabupaten-nias-selatan|Kabupaten|2026-05-13 22:48:06
6|1|Kabupaten Aceh Singkil|kabupaten-aceh-singkil|Kabupaten|2026-05-13 19:21:24
411|33|Kabupaten Tojo Una Una|kabupaten-tojo-una-una|Kabupaten|2026-05-13 22:17:59
171|11|Kota Blitar|kota-blitar|Kota|2026-05-13 20:49:50
454|36|Kabupaten Sijunjung|kabupaten-sijunjung|Kabupaten|2026-05-13 22:32:42
209|14|Kabupaten Gunung Mas|kabupaten-gunung-mas|Kabupaten|2026-05-13 21:03:31
198|13|Kabupaten Hulu Sungai Utara|kabupaten-hulu-sungai-utara|Kabupaten|2026-05-13 20:59:51
413|33|Kota Palu|kota-palu|Kota|2026-05-13 22:18:39
293|22|Kota Bima|kota-bima|Kota|2026-05-13 21:30:38
487|38|Kabupaten Karo|kabupaten-karo|Kabupaten|2026-05-13 22:44:49
100|9|Kota Bogor|kota-bogor|Kota|2026-05-13 20:13:16
319|24|Kabupaten Keerom|kabupaten-keerom|Kabupaten|2026-05-13 21:40:20
408|33|Kabupaten Parigi Moutong|kabupaten-parigi-moutong|Kabupaten|2026-05-13 22:16:21
60|6|Kota Jakarta Timur|kota-jakarta-timur|Kota|2026-05-13 19:50:19
90|9|Kabupaten Majalengka|kabupaten-majalengka|Kabupaten|2026-05-13 20:07:30
25|2|Kabupaten Bangli|kabupaten-bangli|Kabupaten|2026-05-13 19:33:25
385|32|Kabupaten Luwu|kabupaten-luwu|Kabupaten|2026-05-13 22:07:56
59|6|Kota Jakarta Selatan|kota-jakarta-selatan|Kota|2026-05-13 19:50:00
365|30|Kabupaten Pelalawan|kabupaten-pelalawan|Kabupaten|2026-05-13 22:01:25
421|34|Kabupaten Kolaka Utara|kabupaten-kolaka-utara|Kabupaten|2026-05-13 22:20:56
147|11|Kabupaten Jember|kabupaten-jember|Kabupaten|2026-05-13 20:35:50
349|28|Kabupaten Mappi|kabupaten-mappi|Kabupaten|2026-05-13 21:54:46
126|10|Kabupaten Purworejo|kabupaten-purworejo|Kabupaten|2026-05-13 20:26:09
331|25|Kabupaten Teluk Bintuni|kabupaten-teluk-bintuni|Kabupaten|2026-05-13 21:43:21
43|4|Kabupaten Bengkulu Utara|kabupaten-bengkulu-utara|Kabupaten|2026-05-13 19:43:06
156|11|Kabupaten Nganjuk|kabupaten-nganjuk|Kabupaten|2026-05-13 20:41:35
44|4|Kabupaten Kaur|kabupaten-kaur|Kabupaten|2026-05-13 19:43:48
248|18|Kota Tanjung Pinang|kota-tanjung-pinang|Kota|2026-05-13 21:14:52
181|12|Kabupaten Kayong Utara|kabupaten-kayong-utara|Kabupaten|2026-05-13 20:52:28
26|2|Kabupaten Buleleng|kabupaten-buleleng|Kabupaten|2026-05-13 19:33:37
362|30|Kabupaten Kampar|kabupaten-kampar|Kabupaten|2026-05-13 22:00:13
